s.no,msg,old_tags,new_tags
23,@zinczar what do you call pants that a fish wears?,"['fish', 'pants', 'call']","['pants', 'fish']"
24,"RT @adrianspeyer: Join me next Thursday, I'll be sharing how community can truly be part of your #CX &amp; not only be a buzzword. RSVP: https:…","['https', 'join', 'sharing', 'll', 'next', 'rt']","['rt', 'join', 'sharing', 'https']"
25,RT @TwitterSRE: Many thanks again to @annthurium and @mary_grace for coming out and speaking last night! Truly an excellent array of topics…,"['rt', 'out']","['array', 'rt']"
26,@dstevensio I know a number of folks who would be interested! Do you have a link? I'm happy to include it in the #DevRelWeekly job listings as well as post it in the recruiting channel for @DevRelians.,"['happy', 'post', 'link', 'listings', 'include', 'm', 'channel', 'job']","['channel', 'happy', 'listings']"
27,"RT @yashovardhan: Hey people!
I am looking for some nice resources to prepare myself for #DevRel interviews

Can you suggest me some?","['nice', 'DevRel', 'prepare', 'rt', 'resources']","['resources', 'rt', 'prepare']"
28,RT @IAmJerdog: Twitterverse... Looking for some video hardware to record meetups / workshops... Any ideas?,"['any', 'hardware', 'video', 'Meetups', 'Workshops', 'rt', 'record']","['video hardware', 'rt', 'record']"
29,@compiledwrong It was such a pleasure to get to know you this evening! 😊 I’ll be diving into Libby as well as Rien’s Rebellion ASAP. 🙌🎉,"['this', 'get', 'was', 's', 'll']",[]
30,@zinczar @annthurium @mistermocha @TwitterSF I was honored to speak! It was great to meet you afterward 😊,['was'],[]
31,"RT @zinczar: HUGE thanks to @mary_grace, @annthurium, @mistermocha &amp; @TwitterSF for a great #SRE #DevRel event. https://t.co/BMolyQAZmy","['rt', 'co', 'DevRel', 'https']","['https co', 'https t co', 'rt']"
32,"@ChrisShort @ember_dog Likewise! Sacrificing a few hours of work was totally worth it! 😅😜 Also, @ember_dog is the best foot warmer ❤️",['was'],[]
33,I’m so grateful for the fact that I’ve got “talk buddies” around the world 😁 It was so great supporting @ChrisShort during his talk this afternoon and he returned the favor for my talk tonight! #DevRelLife #Community 🤗 https://t.co/KG9MkBHppt,"['this', 'https', 'fact', 'co', 'was', 'got', 'm']","['https co', 'https t co']"
34,RT @ChrisShort: I really appreciate this slide from @mary_grace. So much happiness. #DevRel https://t.co/Sduk4HW8pS,"['this', 'slide', 'https', 'DevRel', 'co', 'rt']","['https co', 'https t co', 'rt', 'slide']"
35,@annthurium @TwitterSRE Thanks so much 😊,[],[]
36,"RT @annthurium: ""Developer Relations is the connective tissue between companies and communities, as well as between teams in the company.""…","['rt', 'between']",['rt']
37,@bandarji @ember_dog Thanks! It was great chatting with you afterward as well.,['was'],[]
38,"RT @bandarji: Developer Relations:

""To the community, I represent the company. To the company, I represent the community.""

Great #DevRel…","['rt', 'DevRel']",['rt']
39,RT @KristinCMartin: SF Reliability Engineering meetup. @mary_grace talks Developer Relations #devrel (with @ember_dog!) #techmeetup #sf #sr…,"['sf', 'DevRel', 'reliability', 'rt', 'meetup']","['sf reliability', 'rt', 'meetup']"
40,@compiledwrong 😊😊💖💖 this tweet made me smile so hard my face hurts.,"['this', 'smile', 'face']",['smile']
41,@jtviolet @shannonlucas @lyft @DevRelians DevRel Slack! 😊,"['DevRel', 'Slack']",['slack']
42,"Anyone who speaks on a regular basis, here’s a fantastic #ProTip from @annthurium. 

#DevRel #CMgr #speaking #TechTalk https://t.co/S4UajgEYPR","['https', 'DevRel', 'basis', 'co', 's']","['https co', 'https t co', 'basis']"
43,"Huge props to @annthurium for this amazing trick:

They just asked for a show of fingers for how familiar we all are with JavaScript (1 finger for “what’s JS?” and 5 for expert). They then said they’d use that info to know how in-depth their definitions needed to be. #BRILLIANT","['this', 'info', 'definitions', 's', 'd', 'show', 'JavaScript', 'depth']","['javascript', 'js', 'depth']"
44,Stoked to hear @annthurium talk about their experience with “Goldilocks projects” and @AtomEditor. Puns and dad jokes ftw! 🙌 This is my jam. 🍿 https://t.co/pOEk9PF80C,"['this', 'projects', 'https', 'jam', 'co']","['https co', 'https t co', 'jam']"
45,RT @Weinsteinlaw: If you’re more concerned with which politician is correctly using the phrase “concentration camp” than you are with under…,"['rt', 'using', 'which', 'phrase']","['rt', 'phrase']"
46,"Invest in people first, processes second, and tools third. By doing things in this order you set your team, and therefore your company, up for success. 👏👏👏
@ChrisShort #SwampUp19","['this', 'set', 'Tools', 'TEAM']",['processes']
47,"Learning that failure can be a GOOD thing is a huge pivot point in our careers... in our lives! Being willing to not only run the risk of failure but learn from it when it does happen can be life changing. 

@ChrisShort #SwampUp19 https://t.co/KRYIIBRrOJ","['run', 'https', 'co', 'pivot', 'point']","['https co', 'https t co', 'pivot', 'learn']"
48,"That thing where you know something doesn’t work, but the leadership feels compelled to continue down that path anyway... 😳😳

@ChrisShort #SwampUp19 https://t.co/wEo5OhoFd8","['https', 'down', 'path', 'co', 'where', 'continue']","['https co', 'https t co', 'path', 'continue']"
49,"T-2.5 hours until the @TwitterSRE meetup tonight! If you don’t yet have plans for tonight, be sure to join @annthurium (speaking about my fave text editor, @AtomEditor) and I (talking about why you should care about DevRel if you’re technical). Hope to see you there! https://t.co/bWCIE3SuE3","['https', 'join', 'DevRel', 'text', 'co', 'editor', 'meetup']","['https t co', 'https co', 'meetup', 'join', 'text editor']"
50,".@ChrisShort talking about that moment when you know that things aren’t as they seem at your new job... #SwampUp19 

The chuckles around the room are telling... 😅 https://t.co/65abGjFGYH","['co', 'job', 'https']","['https co', 'https t co']"
51,"Hanging out at #SwampUp19 this afternoon. Already ran into @sascha_d @LeonStigter @jbaruch and of course, @ChrisShort, whose talk I’m sitting in now! 🙌 https://t.co/18sH40gFYs","['this', 'https', 'co', 'm', 'out']","['https co', 'https t co']"
52,@davidgsIoT @rainleander awww not the same at all!! I know the feeling. Time for a reunion! 😁,['time'],['not']
53,"RT @IAmJerdog: While this is good advice, I would caution #CMGR that if you're not responding to your needs as an individual, you will even…","['rt', 'this']",['rt']
54,@Khatie @FridayPush2Prod @rickheaton @Phenteo Fantastic - thanks! :),[],[]
55,"@ManekiDenise I'm curious about the premise that there are certain qualities that are ""unlearnable"" (Google Translate's version of the word 😅). I think some qualities might come easier to some than others, but I'd like to think that everyone can grow, striving to equip new qualities.","['word', 'translate', 's', 'm', 'd', 'version']","['google translate', 'word']"
56,@FridayPush2Prod @Khatie @rickheaton @Phenteo Is there a link to the finished product? I'd love to watch!,"['link', 'product', 'watch', 'd']",['watch']
57,"@mz__kev A few things most companies will look for in a dev looking to turn dev advocate:
1) ability to translate technical topics into easy-to-understand concepts
2) empathy for customers
3) involvement in open source projects or community events (meetups, conferences, etc.)","['Events', 'projects', 'Open Source', 'translate', 'Empathy', 'turn', 'Meetups']","['for in', 'turn', 'translate', 'open source projects', 'events']"
58,@mz__kev Absolutely! I'd look into companies that are adding Dev Advocates to their team rather than one that's building a Developer Relations team from scratch (aka you'd be a team of one). They'll be able to set you up for success to learn from other teammates who have more experience.,"['building', 'Scratch', 'set', 's', 'll', 'd', 'TEAM']","['building', 'scratch', 'learn']"
59,"@ItS_Misan I don't know you, but saw your tweet while pulling together info for this week's DevRel Weekly newsletter and I'd love to hear more about what makes you think that! Happy to help in any way I can.","['this', 'info', 'happy', 'any', 'help', 'DevRel', 's', 'd', 'newsletter']","['newsletter', 'happy']"
60,@bria_sullivan @MigMontemayor @techgirl1908 I'd love to hear more about this! I love that there are career workshops happening around Developer Relations.,"['this', 'd', 'Workshops']",['career']
61,"@gunnarmorling Sorry it felt like an inside joke! It's not intended that way 😕 A few of us have written about the meaning behind it, including me 🙂
https://t.co/b7MM9KLhLY","['co', 's', 'behind', 'https']",['t co']
62,"RT @shl: If you're a new mom, we're hiring!

Part-time, work from anywhere, no scheduled meetings, no deadlines, $125-150/hr.

Instructions…","['instructions', 'mom', 'deadlines', 'rt', 'time']","['rt', 'mom', 'no deadlines', 'instructions']"
63,@shannonlucas @lyft I was just talking to @jtviolet about roles like this last week! I'm fascinated to see this new sub-section of DevRel roles popping up. I'd actually love to talk to you more about the goals and impetus for this role if you have the time.,"['this', 'role', 'DevRel', 'Goals', 'was', 'roles', 'm', 'd', 'time']","['role', 'roles']"
64,"RT @MicroSFF: ""Is your energy supply sustainable?"" the advert asked.
I checked my energy meter.
57% Spite
35% Anger
7% Curiosity
1% Compass…","['energy', 'checked', 'meter', 'rt', 'compass']","['compass', 'rt', 'checked', 'energy meter']"
65,"RT @felipefaraggi: Very happy to be part of #trufflecon2019 to speak about @PegaSysEng's #pantheon client. 

Anyone else planning on going?…","['happy', 'pantheon', 's', 'rt', 'Client', 'planning']","['rt', 'happy', 'planning']"
66,"If you’re a part of @TheCR community, tune into this conversation I’ll be having with their members on June 26th. It should be a great time chatting about the ins and outs of DevRel! https://t.co/jMdH5Zn23y","['this', 'members', 'https', 'DevRel', 'co', 'll', 'having', 'time']","['https co', 'https t co', 'conversation']"
67,@sigje ahh no! so sorry. deleting and starting over. thanks 😂,[],['no']
68,I'm excited to give this talk to a broad audience. No need to be in a particular location -- just in front of your very own computer in the comfort of your own office! Come learn about what #DevRel is and how it benefits you as an engineer. https://t.co/FBJxy7uMnP,"['this', 'https', 'DevRel', 'co', 'm', 'computer', 'audience', 'location']","['https co', 'https t co', 'audience', 'learn']"
69,"There’s some amazing advice in here for all speakers, whether you’re new or experienced. Take a look and then add your own advice! https://t.co/CP5op9pqMR","['take', 'https', 'co', 's', 'add']","['https co', 'https t co']"
70,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr This is an easier conversation to have in person 😅 Wednesday perhaps? Otherwise it’s just going to be a mess of screenshots.,"['this', 's']","['conversation', 'screenshots']"
71,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I mean... are we talking how many RSS feeds? Or how many websites those RSS feeds compile? 😅,"['rss', 'feeds', 'mean']","['rss feeds compile', 'rss feeds', 'mean', 'websites']"
72,"@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr As far as analytics go, I've been struggling to figure out which pieces were most effective and why. e.g. Do I go based on engagement that the person got on their article/podcast/tweet? Or the number of click-throughs I got on the newsletter?","['figure', 'which', 'far', 'article', 'Go', 'podcast', 'got', 'click', 'analytics', 'out', 'newsletter', 'e']","['analytics go', 'go', 'article podcast', 'newsletter']"
73,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I'm guessing he was joking 😉 I do understand the sentiment tho! The reading/sorting/filtering takes so much time every week. Being able to increase the filtering via Zapier has gone a long way for me.,"['filtering', 'zapier', 'was', 'm', 'sorting', 'time']","['sorting filtering', 'long', 'filtering', 'zapier']"
74,@ChrisShort @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr How do you find the content that is newsletter worthy? That's where my RSS feeds &gt; Zapier &gt; Pocket come into play.,"['rss', 'feeds', 'zapier', 'pocket', 'find', 'where', 's', 'newsletter']","['rss feeds', 'newsletter', 'zapier', 'pocket']"
75,@ChrisShort @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr What do you do?,[],[]
76,@jtviolet Welcome home!,[],[]
77,@evanhamilton @DEGoodmanWilson is on the DevRel team -- I'm guessing there's at least some overlap?,"['overlap', 'DevRel', 's', 'm', 'TEAM']",['overlap']
78,RT @breanneboland: Can confirm that this group has done some great stuff and has been pretty well supported by the powers that be. There's…,"['rt', 'this', 's', 'confirm']","['group', 'rt', 'confirm']"
79,@ChrisShort @alexellisuk @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr Totally open to it! Throw some time on my calendar? https://t.co/3iTSNOAPbl,"['https', 'open', 'co', 'calendar', 'throw', 'time']","['calendar https co', 'calendar https t co', 'throw']"
80,"@lindybrandon @MissDaniBoo @MissDaniBoo I'd love to give as much advice as I can! @ember_dog is a unique case for a number of reasons, but there are a lot of great resources:
https://t.co/vOSOXtb8Vv 
https://t.co/BrprnbgBDf. I'd start training ASAP as it's harder to do in-depth training the older they are.","['https', 'unique', 'co', 's', 'd', 'depth', 'case', 'resources']","['resources https co', 'resources https t co', 'https co', 'unique', 'depth', 'https t co']"
81,RT @bitandbang: Genuinely love DevRel weekly – always a nice surprise in my inbox &lt;3 https://t.co/0ZQ4qicg6v,"['nice', 'https', 'DevRel', 'inbox', 'co', 'rt']","['https co', 'https t co', 'rt', 'inbox']"
82,@bitandbang It’s comments like this that make it all worth it to me. Thanks for taking the time to say something. 😊💖,"['comments', 's', 'this', 'time']",[]
83,"Issue 69 of #DevRelWeekly is out! Articles from @krunchdata &amp; @DeveloperModeCo in addition to tweets from @bitandbang @jonobacon @iam_lizzyfierce and a #DevRelCon recap from @devrel_net among other things. Check it out &amp; subscribe here: https://t.co/xnykVU5yBa

#DevRel #CMgr","['https', 'tweets', 'DevRel', 'co', 'out', 'subscribe', 'addition']","['https co', 'https t co', 'addition', 'tweets', 'subscribe']"
84,@ChrisShort @alexellisuk @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr you mean a Twitter conversation isn't sufficient? 😆,"['twitter', 'mean']","['twitter conversation', 'mean']"
85,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr One more piece that was hugely helpful for me (and that I'm now noticing is lacking in Evernote:

- If I _can't_ archive the articles in a separate list, I need to be able to sort by ""untagged"" articles to see which ones I still need to sift through for this week's issue.","['this', 'evernote', 'which', 'list', 'was', 's', 'm', 'archive', 'sort', 'sift']","['evernote', 'archive', 'sort', 'sift', 'list']"
86,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr I'm completely fine with paying for it! Freemium seems to be the way to go. I'd say my paying limit is probably $25/month, which is currently 5x what most of these platforms charge.","['which', 'Go', 'm', 'limit', 'd']","['go', 'month', 'limit']"
87,RT @remotesynth: Developer Relations (aka DevRel) has become a big part of the developer ecosystem in recent years...but why should devrel…,"['rt', 'DevRel']",['rt']
88,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr must have:
- import via Zapien (pref) or IFTTT)
- ability to tag articles
- search (minimum title &amp; link) tho pref in-article
- bulk edit

nice:
- preview of article
- ability to archive articles
- multi-person login","['title', 'nice', 'edit', 'search', 'login', 'article', 'minimum', 'import', 'link', 'archive', 'preview', 'ifttt', 'bulk']","['search minimum title', 'article bulk', 'import', 'ifttt', 'preview', 'archive', 'login']"
89,RT @skpodila: “Guys” is not a gender-neutral term when addressing a diverse group.  I wrote about why I care — https://t.co/RPmHu2mJZA,"['https', 'addressing', 'co', 'rt', 'term']","['https co', 'https t co', 'addressing', 'group', 'rt', 'term']"
90,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk It's not my favorite option but it looks like the only one that checks all the boxes right now  ¯\_(ツ)_/¯  I'm going to have to do some wrangling to import everything that I have in Pocket, but I think there's an IFTTT recipe that will work for that.","['option', 'pocket', 'recipe', 'import', 's', 'm', 'favorite', 'ifttt']","['favorite option', 'ifttt recipe', 'import', 'pocket', 'boxes']"
91,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk I honestly think I'm just going to move things over to Evernote for the time being. It can do Zapier integrations. I can share the notebook with others. I can view card snippets &amp; bulk edit. I can tag things &amp; search within items. It's available offline, and it syncs w/iOS.","['move', 'evernote', 'zapier', 'share', 'edit', 'search', 's', 'm', 'bulk', 'offline', 'view', 'ios', 'items', 'time']","['evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']"
92,@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr @alexellisuk happy to help however I can!,"['pocket', 'happy', 'help']",['happy']
93,"@PreciselyAlyss @IAmJerdog @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr You can actually use Zapier to pull an RSS feed _from_ Raindrop, but I need to be able to import items from multiple RSS feeds _into_ Raindrop on a continual basis. There are lots of ppl asking for it, but it hasn't been implemented yet and no longer seems to be on the roadmap.","['rss', 'feed', 'feeds', 'zapier', 'ppl', 'pocket', 'basis', 'import', 'pull', 'roadmap', 'items']","['ppl', 'rss feeds', 'zapier', 'import', 'basis', 'roadmap']"
94,@raindrop_io Any thoughts or plans around these integrations? There are a bunch of Premium Pocket members who are now stranded because of their recent changes which broke our workflow. We're more than willing to pay... we just need the Zapier/IFTTT integrations.,"['members', 'which', 'bunch', 'any', 'zapier', 'pocket', 'ifttt', 'workflow']","['zapier ifttt', 'bunch', 'pocket', 'workflow']"
95,"@IAmJerdog @PreciselyAlyss @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr I just found the reason why I (and likely others) can't use it -- there's no Zapier or IFTTT integration 😩 I'll keep digging... it's possible that among us we can figure out a way to build the integration ourselves using their API, but it's not a solution I can integrate today.","['figure', 'using', 'zapier', 'integrate', 'reason', 'pocket', 'integration', 's', 'll', 'out', 'API', 'build', 'ifttt', 'solution']","['ifttt integration', 'integration', 'integrate', 'build', 'no zapier']"
96,@davidgsIoT Thanks 😊❤️,[],[]
97,@PreciselyAlyss @IAmJerdog @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr good to know! I’m hopeful 😊 Thanks for the tip.,"['pocket', 'm']",[]
98,@ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr What about Raindrop? 🤔 https://t.co/8IPkr4l1oL It looks promising... I might play around with it this afternoon.,"['co', 'pocket', 'this', 'https']","['https co', 'https t co']"
99,"@ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig Tho I'm seeing that it's iOS/Android only... not computers :( So is Figgle. 

/cc @garethr","['android', 'cc', 'pocket', 's', 'm', 'ios']","['android', 'ios', 'cc']"
100,RT @maxkatz: The Truth About DevRel &amp; How To Make It Work. Read this article numerous times. Superb read (as always) by ⁦@Mary_grace⁩ #devr…,"['this', 'DevRel', 'article', 'read', 'rt']","['rt', 'article']"
